Continent;Region;Country;Criminality avg,;Criminal markets avg,;Human trafficking;Human smuggling;Arms trafficking;Flora crimes;Fauna crimes;Non-renewable resource crimes;Heroin trade;Cocaine trade;Cannabis trade;Synthetic drug trade;Cyber-dependent crimes;Financial crimes;Trade in counterfeit goods;Illicit trade in excisable goods;Extortion and protection racketeering;Criminal actors avg,;Mafia-style groups;Criminal networks;State-embedded actors;Foreign actors;Private sector actors;Resilience avg,;Political leadership and governance;Government transparency and accountability;International cooperation;National policies and laws;Judicial system and detention;Law enforcement;Territorial integrity;Anti-money laundering;Economic regulatory capacity;Victim and witness support;Prevention;Non-state actors
Americas;South America;Chile;5.18;5.07;6.00;5.00;6.50;4.50;5.00;3.00;2.00;7.50;7.00;5.50;5.00;4.00;6.50;4.00;4.50;5.30;4.00;6.00;5.50;6.00;5.00;6.17;7.00;7.00;8.00;6.00;5.50;4.50;4.00;6.50;6.00;6.00;6.50;7.00
Europe;Central & Eastern Europe;Czech Republic;4.68;4.87;5.50;5.50;5.00;3.00;5.50;3.50;4.50;5.00;6.00;6.50;5.50;6.00;4.00;4.00;3.50;4.50;3.50;4.50;5.00;4.50;5.00;6.42;6.50;6.50;7.00;7.00;6.50;7.00;7.00;6.50;6.00;5.00;6.00;6.00
Europe;Southern Europe;Italy;6.22;5.73;7.00;7.50;6.00;3.00;3.50;5.50;5.00;8.00;5.50;5.00;6.00;7.00;5.50;4.00;7.50;6.70;9.00;3.50;6.50;7.50;7.00;6.46;6.50;5.00;9.00;8.00;5.50;7.50;6.00;6.00;5.00;5.50;6.00;7.50
Europe;Southern Europe;Portugal;4.88;4.67;5.50;5.00;4.00;4.00;4.00;3.50;5.00;6.00;5.50;5.00;5.50;5.00;4.50;4.00;3.50;5.10;5.00;6.00;4.50;5.50;4.50;6.50;7.00;5.00;7.50;7.00;6.00;7.00;6.00;6.50;5.50;7.00;6.00;7.50
Africa;West Africa;Cabo Verde;4.28;3.97;4.50;2.00;3.00;2.00;4.00;1.00;4.00;7.50;5.50;4.00;4.50;4.00;4.00;4.50;5.00;4.60;3.00;4.50;4.00;7.00;4.50;6.58;7.00;7.00;8.50;7.00;7.50;6.00;7.50;5.00;6.00;4.00;6.50;7.00
Europe;Southern Europe;Spain;5.90;5.70;7.00;7.00;4.00;3.50;5.00;2.50;6.50;7.50;7.50;5.50;6.00;7.00;6.00;6.50;4.00;6.10;6.00;7.00;5.00;7.50;5.00;6.75;6.50;6.00;8.50;8.00;7.00;8.00;5.50;6.50;6.00;6.50;5.50;7.00
Europe;Western Europe;France;5.82;5.93;6.00;6.50;6.00;4.00;5.50;5.00;6.00;7.00;7.00;6.00;6.50;6.50;7.00;5.50;4.50;5.70;6.00;6.50;3.50;7.00;5.50;6.96;6.50;7.00;8.50;7.50;6.50;7.00;5.50;8.00;8.00;5.00;7.00;7.00
Europe;Western Europe;Switzerland;4.87;4.63;5.00;3.50;5.50;1.50;3.00;7.00;2.50;6.00;4.50;4.00;7.00;7.50;6.00;4.00;2.50;5.10;4.50;4.00;2.00;7.50;7.50;7.04;8.50;6.00;8.00;7.00;7.00;7.50;8.50;5.00;6.00;7.00;6.00;8.00
Europe;Western Europe;Belgium;4.43;5.17;5.00;6.00;6.00;3.00;3.50;4.00;4.00;8.00;6.50;7.50;6.00;6.50;5.00;4.00;2.50;3.70;3.00;5.00;2.00;5.00;3.50;7.04;7.00;7.00;8.00;7.50;6.00;7.00;6.00;7.00;7.00;7.50;7.00;7.50
Americas;North America;United States;5.67;5.83;6.00;5.50;7.50;2.50;5.50;4.50;6.50;7.00;4.50;8.50;8.00;7.50;6.00;5.00;3.00;5.50;5.50;6.00;4.50;5.50;6.00;7.13;6.00;6.00;9.00;6.50;6.00;8.00;6.50;6.50;8.00;7.50;7.00;8.50
Americas;North America;Canada;3.88;3.87;4.00;4.00;3.50;2.00;3.00;3.00;5.00;3.50;3.00;5.50;6.50;5.00;4.00;3.50;2.50;3.90;5.00;4.00;2.00;4.50;4.00;7.21;7.50;7.00;8.00;8.00;7.00;7.00;6.00;6.00;7.50;8.50;6.00;8.00
Europe;Northern Europe;Lithuania;3.90;3.80;4.00;3.00;3.00;1.50;3.00;2.50;4.50;5.00;4.50;4.50;5.50;6.00;3.00;5.00;2.00;4.00;4.00;4.50;4.00;4.00;3.50;7.29;7.00;7.00;8.50;7.00;8.00;7.50;8.00;6.50;7.50;7.00;6.50;7.00
Europe;Western Europe;Ireland;5.08;5.17;5.00;4.50;4.00;2.00;4.00;5.50;6.00;7.00;6.00;6.00;6.00;6.00;5.00;5.00;5.50;5.00;6.50;6.00;4.00;6.50;2.00;7.33;7.00;8.00;8.00;8.00;7.00;7.00;7.50;8.00;8.00;7.00;5.50;7.00
Asia;Eastern Asia;Japan;4.28;3.87;5.00;5.00;2.50;4.00;6.00;3.00;1.50;3.00;4.50;5.00;3.50;6.00;2.00;2.00;5.00;4.70;6.00;5.50;3.00;4.50;4.50;7.38;6.00;7.50;9.00;7.50;8.00;7.50;8.50;7.50;8.00;5.50;5.50;8.00
Oceania;Australia and New Zealand;Australia;4.00;4.30;3.50;2.50;3.50;3.00;4.00;2.00;3.50;6.50;3.00;7.00;7.50;7.00;2.00;5.00;4.50;3.70;4.50;5.00;2.50;4.00;2.50;7.38;7.50;8.00;9.00;8.00;8.00;8.00;7.50;7.00;7.00;6.00;6.00;6.50
Europe;Western Europe;Netherlands;4.97;5.23;5.50;5.00;6.00;4.00;4.50;4.50;4.00;7.50;5.50;8.00;7.50;5.00;5.00;4.00;2.50;4.70;4.50;6.00;3.00;6.00;4.00;7.46;7.50;8.00;8.50;7.50;7.50;7.50;6.00;6.50;6.50;8.00;8.00;8.00
Europe;Northern Europe;Sweden;4.70;4.60;5.00;6.00;6.00;2.50;3.50;2.00;3.00;5.50;5.50;6.00;6.00;6.00;4.00;3.50;4.50;4.80;5.00;6.00;2.50;6.50;4.00;7.46;6.50;8.50;8.50;7.50;7.00;6.50;8.00;8.00;7.00;6.00;7.50;8.50
Europe;Western Europe;Germany;5.33;5.47;6.00;7.00;6.00;2.50;4.00;3.00;4.50;7.00;6.00;6.50;6.50;7.50;5.50;4.50;5.50;5.20;5.00;6.50;2.00;7.00;5.50;7.50;6.50;7.00;8.00;8.00;8.00;7.50;8.50;6.00;7.00;8.00;8.00;7.50
Europe;Western Europe;Austria;4.13;4.17;4.50;6.00;5.50;2.00;2.50;2.00;4.00;4.00;4.50;5.00;5.00;5.50;4.00;3.50;4.50;4.10;1.00;4.00;4.00;6.50;5.00;7.50;7.50;6.50;7.50;8.00;8.50;8.50;7.50;6.50;7.00;8.00;7.50;7.00
Americas;South America;Uruguay;3.22;3.33;3.00;4.00;3.00;1.00;3.50;1.00;2.00;6.00;4.00;3.50;4.00;4.00;3.50;3.50;4.00;3.10;2.50;4.50;3.00;2.50;3.00;7.50;7.50;9.00;9.00;7.00;6.00;7.00;7.00;6.50;8.00;7.50;7.00;8.50
Europe;Western Europe;Luxembourg;2.85;2.90;3.50;2.00;2.00;1.50;1.50;1.50;3.00;3.50;2.50;3.50;4.50;6.50;3.50;2.50;2.00;2.80;1.00;2.00;2.00;5.00;4.00;7.50;8.00;6.50;9.00;8.00;7.50;7.00;8.00;5.50;7.00;7.50;8.00;8.00
Europe;Western Europe;United Kingdom;5.75;5.50;7.00;6.00;4.50;3.00;4.00;2.50;4.50;7.00;5.50;6.00;6.50;7.50;6.50;6.00;6.00;6.00;4.50;7.00;3.50;7.50;7.50;7.54;7.50;6.50;7.50;8.00;8.00;7.50;8.50;6.50;7.50;7.00;7.50;8.50
Europe;Northern Europe;Latvia;3.90;4.50;5.00;4.50;3.50;1.50;2.00;2.00;4.50;5.50;5.50;5.50;6.00;6.50;6.00;6.00;3.50;3.30;4.00;3.50;2.00;4.50;2.50;7.58;7.00;6.50;8.50;8.50;8.00;8.00;8.50;6.00;8.00;7.50;7.50;7.00
Asia;South-Eastern Asia;Singapore;3.47;3.93;5.50;2.50;2.50;2.50;4.50;2.50;4.50;3.00;3.50;5.50;6.50;6.00;5.00;3.00;2.00;3.00;3.00;4.00;1.50;4.00;2.50;7.83;7.50;7.50;9.00;8.50;9.00;9.00;8.00;7.50;8.00;7.00;9.00;4.00
Europe;Northern Europe;Estonia;4.25;4.20;4.50;3.50;2.00;2.00;2.00;3.50;3.00;4.00;6.00;7.00;7.00;7.00;4.00;5.00;2.50;4.30;3.50;4.50;2.00;5.50;6.00;7.88;8.00;7.50;8.50;8.00;8.00;7.50;8.00;8.00;7.50;7.50;8.00;8.00
Oceania;Australia and New Zealand;New Zealand;4.08;3.77;3.50;3.50;3.00;2.00;4.00;1.50;2.50;4.50;5.00;6.00;6.00;7.00;2.00;2.00;4.00;4.40;4.00;5.50;2.00;4.50;6.00;7.88;8.00;8.00;8.50;8.00;7.50;7.50;8.50;6.50;8.00;8.00;7.50;8.50
Europe;Northern Europe;Norway;3.75;4.10;5.00;3.50;4.00;2.00;4.00;3.00;5.00;5.00;4.50;4.50;5.50;5.00;2.50;5.00;3.00;3.40;4.50;4.50;1.50;4.50;2.00;7.92;8.00;8.50;9.00;8.50;8.00;8.00;8.00;7.00;8.00;7.00;7.00;8.00
Europe;Western Europe;Andorra;3.22;2.73;2.50;3.00;2.50;1.00;1.00;3.00;2.00;3.50;4.50;1.50;2.00;6.50;2.00;5.00;1.00;3.70;1.00;4.00;1.50;6.00;6.00;7.96;7.00;7.50;8.50;8.50;8.00;8.50;7.50;7.00;8.00;8.50;8.50;8.00
Asia;Eastern Asia;Korea, Rep,;4.43;3.57;5.50;4.00;2.50;3.50;4.00;2.00;3.50;3.50;3.00;5.00;3.50;4.00;3.50;3.00;3.00;5.30;5.50;5.00;4.50;6.50;5.00;8.08;9.00;8.00;8.50;9.00;9.00;8.00;7.50;8.00;7.00;7.00;8.00;8.00
Europe;Northern Europe;Denmark;4.02;4.33;4.00;5.00;5.00;2.00;2.00;2.00;4.50;6.00;6.00;5.00;6.50;4.50;4.00;4.00;4.50;3.70;5.50;4.50;2.00;5.00;1.50;8.13;9.00;9.00;8.00;9.00;7.50;7.50;8.00;6.00;8.50;7.50;8.50;9.00
Europe;Northern Europe;Iceland;3.37;2.93;4.50;3.50;2.00;1.00;1.50;1.00;1.50;5.00;4.50;4.50;5.00;5.00;3.00;1.00;1.00;3.80;4.50;5.00;1.50;5.00;3.00;8.21;8.00;7.50;8.50;8.50;8.50;9.00;8.50;8.00;8.50;7.50;7.50;8.50
Europe;Western Europe;Liechtenstein;2.27;2.33;2.00;1.50;2.00;1.50;1.50;1.50;2.00;3.00;3.50;2.00;4.00;6.50;1.00;1.00;2.00;2.20;1.00;1.50;1.50;3.00;4.00;8.46;9.00;8.00;7.50;9.00;9.00;8.50;9.50;5.00;8.50;9.50;9.50;8.50
Europe;Northern Europe;Finland;2.98;3.27;3.50;3.00;3.00;1.50;2.00;2.00;3.50;4.00;4.00;5.00;5.00;4.00;3.00;3.00;2.50;2.70;3.00;3.00;1.50;3.00;3.00;8.63;9.00;9.00;9.00;8.50;8.00;8.50;9.00;8.50;9.00;8.00;8.50;8.50
