Continent;Region;Country;Criminality avg,;Criminal markets avg,;Human trafficking;Human smuggling;Arms trafficking;Flora crimes;Fauna crimes;Non-renewable resource crimes;Heroin trade;Cocaine trade;Cannabis trade;Synthetic drug trade;Cyber-dependent crimes;Financial crimes;Trade in counterfeit goods;Illicit trade in excisable goods;Extortion and protection racketeering;Criminal actors avg,;Mafia-style groups;Criminal networks;State-embedded actors;Foreign actors;Private sector actors;Resilience avg,;Political leadership and governance;Government transparency and accountability;International cooperation;National policies and laws;Judicial system and detention;Law enforcement;Territorial integrity;Anti-money laundering;Economic regulatory capacity;Victim and witness support;Prevention;Non-state actors
Africa;Central Africa;Gabon;4.85;4.60;5.50;5.50;4.50;8.50;7.00;3.00;2.50;3.00;4.00;5.00;2.50;7.00;7.00;3.00;1.00;5.10;1.00;5.00;8.00;6.00;5.50;3.25;2.00;2.00;5.00;4.00;3.00;4.50;4.50;2.00;2.50;3.00;3.50;3.00
Africa;Central Africa;Congo, Rep,;4.78;4.47;6.50;4.50;5.00;8.00;7.00;4.00;2.00;6.00;4.00;2.00;2.50;4.00;5.50;3.00;3.00;5.10;3.00;6.50;8.00;5.00;3.00;3.25;3.00;2.00;5.00;5.00;2.00;4.50;3.00;3.00;3.00;2.00;4.00;2.50
Africa;Southern Africa;Mozambique;6.20;5.90;4.50;5.50;6.50;8.00;8.00;8.00;8.00;6.00;4.00;7.00;3.00;6.50;4.00;4.50;5.00;6.50;5.00;8.00;9.00;7.50;3.00;3.29;3.00;3.50;5.50;5.50;2.00;2.00;3.00;3.00;4.00;3.00;2.00;3.00
Oceania;Melanesia;Papua New Guinea;5.72;5.33;7.00;4.00;6.50;8.50;5.00;7.00;1.00;4.00;6.50;5.00;4.00;9.00;5.50;5.00;2.00;6.10;1.00;8.00;8.50;6.50;6.50;3.29;2.50;2.00;4.50;5.50;4.50;3.00;3.00;3.00;3.00;3.50;2.50;2.50
Americas;Caribbean & Central;Belize;4.87;4.43;5.50;6.00;5.00;5.50;5.50;3.50;3.50;5.00;5.50;3.00;3.50;4.00;3.50;4.00;3.50;5.30;6.50;3.50;5.50;5.50;5.50;3.29;6.00;2.50;4.00;3.50;4.00;4.00;2.00;2.00;1.50;3.00;3.00;4.00
Africa;Southern Africa;eSwatini;4.38;3.87;4.00;4.50;4.00;2.50;2.00;3.00;3.00;3.00;5.50;3.00;5.00;5.50;4.00;4.50;4.50;4.90;2.00;5.50;6.00;5.00;6.00;3.29;3.00;2.50;5.00;3.00;3.00;3.00;4.00;5.00;2.00;2.50;4.00;2.50
Africa;Southern Africa;Madagascar;5.58;5.27;6.00;3.00;6.00;8.00;7.50;8.00;7.00;3.00;6.50;2.50;2.00;6.00;4.00;4.00;5.50;5.90;4.50;5.00;8.00;6.50;5.50;3.33;4.00;2.00;3.00;3.50;2.50;4.00;5.50;4.50;2.00;2.50;4.00;2.50
Asia;Western Asia;Turkey;7.03;6.77;8.00;9.00;8.50;4.00;3.00;8.50;8.50;5.50;6.50;7.00;5.00;8.00;7.00;7.00;6.00;7.30;8.50;8.00;9.00;6.00;5.00;3.38;4.00;2.00;3.50;4.50;2.00;3.00;5.50;2.00;4.00;4.00;3.00;3.00
Americas;South America;Paraguay;7.52;6.73;7.50;6.00;9.00;6.50;6.50;4.00;1.00;8.50;9.00;4.50;7.50;7.50;9.00;7.50;7.00;8.30;8.00;8.00;9.00;9.00;7.50;3.42;2.00;3.00;7.00;3.50;2.50;2.00;4.50;2.50;4.00;2.00;3.00;5.00
Asia;Southern Asia;Sri Lanka;4.92;4.83;6.50;6.50;6.00;3.50;5.50;3.00;6.50;2.50;6.00;6.00;3.00;4.00;2.50;3.50;7.50;5.00;5.50;6.00;7.00;3.50;3.00;3.42;2.50;3.00;5.50;5.50;3.00;3.00;4.00;5.00;2.00;3.00;2.00;2.50
Asia;Western Asia;Lebanon;7.10;6.30;7.50;8.00;8.50;1.50;3.50;6.50;4.00;6.00;9.00;8.50;4.00;9.00;6.50;6.50;5.50;7.90;6.00;7.50;9.50;8.50;8.00;3.46;2.50;3.00;5.50;4.00;3.50;3.00;3.00;2.50;1.50;4.00;3.50;5.50
Asia;South-Eastern Asia;Laos;6.12;6.33;7.00;6.50;5.50;8.00;8.50;3.50;7.50;2.50;4.50;8.50;5.50;8.00;7.50;7.00;5.00;5.90;1.50;6.50;6.50;8.00;7.00;3.46;3.50;2.50;4.00;4.00;3.00;4.00;2.50;3.50;4.00;4.00;3.50;3.00
Africa;West Africa;Burkina Faso;5.92;5.83;7.00;4.50;8.00;5.50;6.50;8.50;4.00;4.00;4.00;5.50;5.50;5.50;6.00;6.50;6.50;6.00;4.00;7.00;7.00;6.00;6.00;3.46;2.50;3.50;5.00;5.50;4.00;3.00;2.00;4.00;3.00;2.50;2.00;4.50
Africa;West Africa;Niger;5.70;5.70;7.50;8.00;8.00;2.00;5.00;7.50;3.00;6.50;7.00;7.50;1.00;6.50;7.00;5.00;4.00;5.70;4.00;7.50;8.50;5.50;3.00;3.46;4.00;2.50;5.50;4.50;2.50;4.00;3.50;4.00;3.50;2.50;2.50;2.50
Africa;West Africa;Benin;5.32;5.43;6.50;4.00;6.00;6.00;5.00;5.00;4.50;7.00;5.00;6.00;4.50;6.00;7.00;5.00;4.00;5.20;2.00;5.50;6.00;8.00;4.50;3.50;3.50;4.00;4.50;3.00;3.00;4.00;3.00;4.00;4.00;3.00;2.00;4.00
Asia;South-Eastern Asia;Cambodia;6.85;6.70;8.50;7.00;5.50;8.00;8.50;8.00;4.50;2.50;4.50;8.00;7.50;8.00;8.00;5.50;6.50;7.00;4.50;7.00;8.50;8.00;7.00;3.63;4.00;3.50;5.00;4.00;4.00;3.50;4.00;4.00;4.00;2.50;3.00;2.00
Europe;Central & Eastern Europe;Russia;6.87;6.83;7.50;6.50;8.50;7.50;7.50;7.50;6.00;3.50;5.00;8.50;9.00;8.50;4.50;6.50;6.00;6.90;6.00;7.00;8.50;5.00;8.00;3.79;4.00;3.00;3.00;6.00;4.00;4.50;5.00;3.50;4.00;2.50;3.50;2.50
